bnum	gene_name	knowledgebase	ann_quality	new_ann_quality
b4672	ymiB	EcoGene	low	low
b4688	ykgS'	EcoGene	low	low
b4689	rzoQ	EcoGene	low	low
b4692	oweE'	EcoGene	low	low
b4695	ykgT'	EcoGene	low	low
b4697	yrdF'	EcoGene	low	low
b4489	oriC	EcoGene	high	high
b4629	ptwF'	EcoGene	low	low
b4635	pauD'	EcoGene	low	low
b4643	pawZ'	EcoGene	low	low
b4645	psaA'	EcoGene	low	low
b4614	sokA'	EcoGene	low	high
b4700	sokE	EcoGene	low	low
b4561	insM'	EcoGene	low	low
b4587	insN'	EcoGene	low	low
b4623	insO'	EcoGene	low	low
b4236	cybC'	EcoGene	low	low
b0274	insB3	EcoGene	low	high
b0372	insF2	EcoGene	low	high
b0541	insF3	EcoGene	low	high
b1026	insF4	EcoGene	low	high
b1402	insD4	EcoGene	low	high
b1893	insB8	EcoGene	low	high
b1996	insD6	EcoGene	low	high
b2089	insF5	EcoGene	low	high
b2860	insD8	EcoGene	low	high
b3045	insD9	EcoGene	low	high
b3445	insB5	EcoGene	low	high
b4273	insD11	EcoGene	low	high
b4576	insB6'	EcoGene	low	high
b4708	insI2'	EcoGene	low	high
b0178	skp	BOTH	tbd	high
b0492	ybbN	BOTH	tbd	low
b1783	yeaG	BOTH	tbd	low
b2753	iap	BOTH	tbd	high
b2269	elaD	BOTH	tbd	high
b3486	rbbA	BOTH	tbd	high
b1787	yeaK	BOTH	tbd	high
b2494	bepA	BOTH	tbd	high
b3706	mnmE	BOTH	tbd	high
b0921	cmoM	BOTH	tbd	high
b3166	truB	BOTH	tbd	high
b3606	trmL	BOTH	tbd	high
b1413	hrpA	BOTH	tbd	high
b3741	mnmG	BOTH	tbd	high
b0405	queA	BOTH	tbd	high
b2949	yqgF	BOTH	tbd	high
b0376	ampH	BOTH	tbd	high
b4428	hokB	BOTH	tbd	high
b4412	hokC	BOTH	tbd	high
b4453	ldrD	BOTH	tbd	high
b4455	hokA	BOTH	tbd	high
b4235	pmbA	BOTH	tbd	high
b1178	pliG	BOTH	tbd	high
b2520	yfhM	BOTH	tbd	high
b3155	yhbQ	BOTH	tbd	low
b3933	ftsN	BOTH	tbd	high
b3613	envC	BOTH	tbd	high
b4376	osmY	BOTH	tbd	high
b3070	yqjH	BOTH	tbd	high
b1445	ortT	BOTH	tbd	low
b3153	yhbO	BOTH	tbd	high
b3826	yigL	BOTH	tbd	high
b3686	ibpB	BOTH	tbd	high
b3398	yrfF	BOTH	tbd	high
b1489	dosP	BOTH	tbd	high
b2503	pdeF	BOTH	tbd	high
b4347	symE	BOTH	tbd	low
b2754	cas2	BOTH	tbd	high
b2897	sdhE	BOTH	tbd	high
b2896	cptA	BOTH	tbd	low
b3531	bcsZ	BOTH	tbd	high
b1766	sppA	BOTH	tbd	high
b0211	mltD	BOTH	tbd	high
b2558	mltF	BOTH	tbd	high
b1266	yciV	BOTH	tbd	high
b3338	chiA	BOTH	tbd	high
b3475	acpT	BOTH	tbd	high
b3008	metC	BOTH	tbd	high
b4099	phnI	BOTH	tbd	high
b4096	phnL	BOTH	tbd	high
b2751	cysN	BOTH	tbd	high
b3801	aslA	BOTH	tbd	high
b4083	yjcS	BOTH	tbd	high
b4214	cysQ	BOTH	tbd	high
b1757	ynjE	BOTH	tbd	high
b1587	ynfE	BOTH	tbd	low
b2341	fadJ	BOTH	tbd	high
b1800	dmlA	BOTH	tbd	high
b1389	paaB	BOTH	tbd	high
b1198	dhaM	BOTH	tbd	high
b2843	kduI	BOTH	tbd	high
b2803	fucK	BOTH	tbd	high
b0037	caiC	BOTH	tbd	high
b3414	nfuA	BOTH	tbd	high
b2214	ftp	BOTH	tbd	high
b2042	galF	BOTH	tbd	high
b2988	gss	BOTH	tbd	high
b0927	gloC	BOTH	tbd	high
b2989	yghU	BOTH	tbd	high
b4298	yjhH	BOTH	tbd	high
b3878	yihQ	BOTH	tbd	high
b2430	yfeW	BOTH	tbd	low
b2463	maeB	BOTH	tbd	high
b3656	yicI	BOTH	tbd	low
b0766	ybhA	BOTH	tbd	low
b3891	fdhE	BOTH	tbd	high
b3895	fdhD	BOTH	tbd	high
b2487	hyfG	BOTH	tbd	high
b4075	nrfF	BOTH	tbd	low
b1097	mltG	BOTH	tbd	high
b1655	mepH	BOTH	tbd	high
b0925	ldtD	BOTH	tbd	high
b1113	ldtC	BOTH	tbd	high
b1678	ldtE	BOTH	tbd	high
b2690	yqaB	BOTH	tbd	low
b3885	yihX	BOTH	tbd	low
b1059	solA	BOTH	tbd	low
b3080	ygjK	BOTH	tbd	low
b4141	yjeH	BOTH	tbd	low
b1729	tcyP	BOTH	tbd	high
b1377	ompN	BOTH	tbd	high
b3195	mlaF	BOTH	tbd	high
b4105	phnD	BOTH	tbd	high
b3193	mlaD	BOTH	tbd	high
b3192	mlaC	BOTH	tbd	high
b2177	yejA	BOTH	tbd	high
b2131	osmF	BOTH	tbd	high
b4088	alsB	BOTH	tbd	high
b0936	ssuA	BOTH	tbd	high
b3194	mlaE	BOTH	tbd	high
b4311	nanC	BOTH	tbd	high
b0874	lysO	BOTH	tbd	high
b0573	cusF	BOTH	tbd	high
b2683	ygaH	BOTH	tbd	high
b2682	ygaZ	BOTH	tbd	high
b0245	ykfI	BOTH	tbd	high
b0268	yagE	BOTH	tbd	low
b2631	rnlB	BOTH	tbd	high
b0555	rrrD	BOTH	tbd	high
b4036	lamB	BOTH	tbd	high
b0560	nohB	BOTH	tbd	low
b1159	mcrA	BOTH	tbd	high
b2622	intA	BOTH	tbd	high
b0261	mmuM	BOTH	tbd	low
b0547	ybcN	BOTH	tbd	high
b2630	rnlA	BOTH	tbd	high
b2349	intS	BOTH	tbd	high
b1348	ralR	BOTH	tbd	high
b2005	cbtA	BOTH	tbd	high
b2646	ypjF	BOTH	tbd	low
b2614	grpE	BOTH	tbd	high
b0246	yafW	BOTH	tbd	high
b0269	yagF	BOTH	tbd	high
b1346	xisR	BOTH	tbd	high
b2082	ogrK	BOTH	tbd	high
b4297	yjhG	BOTH	tbd	low
b0273	argF	BOTH	tbd	high
b2004	cbeA	BOTH	tbd	high
b2361	yfdR	BOTH	tbd	high
b2628	abpA	BOTH	tbd	high
b0411	tsx	BOTH	tbd	high
b1305	pspB	BOTH	tbd	high
b4484	cpxP	BOTH	tbd	high
b2624	alpA	BOTH	tbd	high
b1969	yedW	BOTH	tbd	high
b1422	ydcI	BOTH	tbd	high
b2157	yeiE	BOTH	tbd	low
b2163	yeiL	BOTH	tbd	low
b2571	rseB	BOTH	tbd	high
b2125	yehT	BOTH	tbd	high
b1853	yebK	BOTH	tbd	low
b1434	sutR	BOTH	tbd	high
b0294	ecpR	BOTH	tbd	high
b3071	yqjI	BOTH	tbd	high
b1790	nimR	BOTH	tbd	high
b1659	ydhB	BOTH	tbd	low
b0799	dinG	BOTH	tbd	high
b4365	yjjQ	BOTH	tbd	low
b3244	tldD	BOTH	tbd	low
b3724	phoU	BOTH	tbd	high
b4017	arpA	BOTH	tbd	low
b3746	ravA	BOTH	tbd	high
b1921	fliZ	BOTH	tbd	high
b2126	yehU	BOTH	tbd	high
b0097	secM	BOTH	tbd	high
b4566	topAI	BOTH	tbd	high
b0742	cpoB	BOTH	tbd	high
b1045	ymdB	BOTH	tbd	high
b1831	proQ	BOTH	tbd	low
b1517	lsrF	BOTH	tbd	high
b4169	amiB	BOTH	tbd	high
b0084	ftsI	BOTH	tbd	low
b0435	bolA	BOTH	tbd	high
b4318	fimF	BOTH	tbd	high
b0535	fimZ	BOTH	tbd	low
b4319	fimG	BOTH	tbd	high
b3409	feoB	BOTH	tbd	high
b0402	proY	BOTH	tbd	high
b1791	nimT	BOTH	tbd	high
b2617	bamE	BOTH	tbd	low
b1628	rsxB	BOTH	tbd	high
b1631	rsxG	BOTH	tbd	low
b0598	cstA	BOTH	tbd	low
b2482	hyfB	BOTH	tbd	high
b0094	ftsA	BOTH	tbd	high
b3943	yijE	BOTH	tbd	high
b0040	caiT	BOTH	tbd	high
b1627	rsxA	BOTH	tbd	low
b1821	mntP	BOTH	tbd	high
b3147	lpoA	BOTH	tbd	high
b3127	garP	BOTH	tbd	high
b1630	rsxD	BOTH	tbd	low
b2789	gudP	BOTH	tbd	high
b2796	sdaC	BOTH	tbd	high
b1069	murJ	BOTH	tbd	high
b2484	hyfD	BOTH	tbd	high
b2995	hybB	BOTH	tbd	high
b2570	rseC	BOTH	tbd	low
b1053	mdtG	BOTH	tbd	low
b3876	yihO	BOTH	tbd	low
b3493	pitA	BOTH	tbd	high
b4132	cadB	BOTH	tbd	high
b0465	mscK	BOTH	tbd	high
b1629	rsxC	BOTH	tbd	low
b2771	ygcS	BOTH	tbd	low
b2370	evgS	BOTH	tbd	high
b4356	lgoT	BOTH	tbd	high
b1632	rsxE	BOTH	tbd	low
b1985	yeeO	BOTH	tbd	high
b2483	hyfC	BOTH	tbd	high
b3827	yigM	BOTH	tbd	high
b2486	hyfF	BOTH	tbd	high
b3662	nepI	BOTH	tbd	high
b0089	ftsW	BOTH	tbd	high
