bnum	up_ann_quality	yome_ann_quality	correct_ann_quality
b4324	low	high	high
b3604	low	high	high
b3131	low	high	high
b4187	low	high	low
b3601	low	high	high
b2105	low	high	high
b1284	low	high	low
b1969	low	high	low
b1987	low	high	high
b3569	low	high	high
b4116	low	high	high
b0346	low	high	high
b2805	low	high	high
b0620	low	high	high
b4264	low	high	high
b3119	low	high	high
b2364	low	high	high
b0034	low	high	high
b1328	low	high	high
b1422	low	high	low
b2437	low	high	high
b1499	low	high	high
b2706	low	high	high
b3188	low	high	high
b3010	low	high	high
b4292	low	high	high
b4293	low	high	high
b1823	low	high	low
b3023	low	high	low
b0623	low	high	high
b0189	low	high	high
b3025	low	high	low
b4351	low	high	low
b0799	low	high	high
b4046	low	high	high
b1166	low	high	high
b0146	low	high	low
b1807	low	high	high
b0999	low	high	high
b4662	low	high	low
b3745	low	high	low
b1707	low	high	high
b4702	low	high	low
b0001	low	high	high
b1326	low	high	high
b1782	low	high	high
b0435	low	high	high
b4318	low	high	high
b4319	low	high	high
b0569	low	high	low
b0433	low	high	high
b2196	low	high	high
b1485	low	high	low
b2452	low	high	low
b3240	low	high	high
b0904	low	high	high
b3824	low	high	high
b0491	low	high	high
b2485	low	high	high
b1959	low	high	low
b2482	low	high	high
b3792	low	high	high
b0577	low	high	high
b0974	low	high	high
b3943	low	high	high
b2470	low	high	high
b1821	low	high	low
b1616	low	high	high
b3127	low	high	low
b1038	low	high	high
b1453	low	high	low
b2789	low	high	high
b0407	low	high	high
b2224	low	high	high
b1492	low	high	high
b2484	low	high	high
b2987	low	high	high
b2365	low	high	high
b2995	low	high	high
b2170	low	high	high
b2258	low	high	high
b0934	low	high	high
b4072	low	high	high
b4132	low	high	high
b4544	low	high	high
b1006	low	high	low
b1174	low	high	high
b4356	low	high	low
b1486	low	high	low
b1985	low	high	high
b2483	low	high	high
b3827	low	high	high
b3224	low	high	high
b0841	low	high	low
b2486	low	high	high
b2198	low	high	high
b1942	low	high	high
b1947	low	high	high
b1075	low	high	high
b1083	low	high	high
b1082	low	high	high
b1950	low	high	high
b1074	low	high	high
b1070	low	high	high
b1077	low	high	high
b1073	low	high	high
b1937	low	high	high
b1076	low	high	high
b1943	low	high	high
b1925	low	high	high
b2037	low	high	high
b3703	low	high	high
b3170	low	high	high
b4161	low	high	high
b1480	low	high	high
b3299	low	high	high
b4557	low	high	low
b4149	low	high	low
b4415	low	high	low
b3425	low	high	low
b2233	low	high	low
b2431	low	high	low
b3536	low	high	low
b4352	low	high	low
b3054	low	high	low
b4613	low	high	high
b3446	low	high	low
b2668	low	high	high
b0493	low	high	low
b1420	low	high	low
b0293	low	high	high
b3323	low	high	high
b3328	low	high	high
b3077	low	high	high
b1578	low	low	low
b3134	low	high	high
b4661	low	low	low
b0274	low	high	high
b0372	low	high	high
b0541	low	high	high
b1026	low	high	high
b1893	low	high	high
b2089	low	high	high
b2860	low	high	high
b4273	low	high	high
b0283	low	high	high
b1341	low	high	high
b0285	low	high	high
b0284	low	high	high
b0286	low	high	high
b1025	low	high	low
b2897	low	high	high
b0927	low	high	high
b1990	low	high	high
b0925	low	high	high
b0819	low	high	high
b1113	low	high	high
b1678	low	high	high
b1048	low	high	high
b3206	low	high	high
b1346	low	high	low
b2628	low	high	low
b1540	low	high	low
b4566	low	high	high
b1528	low	high	high
b0385	low	high	high
b3615	low	high	high
b4104	low	high	high
b3624	low	high	high
b3632	low	high	high
b3627	low	high	high
b3625	low	high	high
b3631	low	high	high
b3629	low	high	high
b1794	low	high	high
b4493	low	high	high
b4490	low	high	high
b1402	low	high	high
b1996	low	high	high
b3045	low	high	high
b1824	low	high	low
