Gene	Module	kME
b0187	UNCLASSIFIED	NA
b0188	P5_I3_M3	0.9
b0189	P6_I3_M2	0.87
b0190	UNCLASSIFIED	NA
b0191	UNCLASSIFIED	NA
b0192	P2_I5_M1	0.82
b0193	UNCLASSIFIED	NA
b0194	P2_I5_M7	0.93
b0195	P2_I5_M6	0.91
b0196	UNCLASSIFIED	NA
b0197	UNCLASSIFIED	NA
b0198	P2_I5_M15	0.87
b0199	P2_I5_M15	0.92
b0200	UNCLASSIFIED	NA
b0207	UNCLASSIFIED	NA
b0208	UNCLASSIFIED	NA
b0209	UNCLASSIFIED	NA
b0210	P6_I3_M2	0.85
b0211	UNCLASSIFIED	NA
b0212	UNCLASSIFIED	NA
b0213	UNCLASSIFIED	NA
b0214	UNCLASSIFIED	NA
b0215	UNCLASSIFIED	NA
b0217	UNCLASSIFIED	NA
b0218	UNCLASSIFIED	NA
b0219	P2_I5_M1	0.88
b0220	P1_I7_M1	0.86
b0221	P2_I5_M4	0.95
b0222	UNCLASSIFIED	NA
b0223	UNCLASSIFIED	NA
b0224	UNCLASSIFIED	NA
b0225	P1_I7_M3	0.83
b0226	P1_I7_M3	0.87
b0227	UNCLASSIFIED	NA
b0228	UNCLASSIFIED	NA
b0229	UNCLASSIFIED	NA
b0230	UNCLASSIFIED	NA
b0231	UNCLASSIFIED	NA
b0232	UNCLASSIFIED	NA
b0233	UNCLASSIFIED	NA
b0234	UNCLASSIFIED	NA
b0235	UNCLASSIFIED	NA
b0236	UNCLASSIFIED	NA
b0237	P5_I3_M1	0.8
b0238	UNCLASSIFIED	NA
b0239	P5_I3_M1	0.9
b0240_1	UNCLASSIFIED	NA
b0240_2	UNCLASSIFIED	NA
b0241	UNCLASSIFIED	NA
b0242	UNCLASSIFIED	NA
b0243	P5_I3_M1	0.85
b0245	UNCLASSIFIED	NA
b0246	UNCLASSIFIED	NA
b0247	UNCLASSIFIED	NA
b0248	UNCLASSIFIED	NA
b0249	UNCLASSIFIED	NA
b0250	UNCLASSIFIED	NA
b0251	UNCLASSIFIED	NA
b0252	UNCLASSIFIED	NA
b0253	UNCLASSIFIED	NA
b0254	UNCLASSIFIED	NA
b0256	UNCLASSIFIED	NA
b0258	UNCLASSIFIED	NA
b0259	P6_I3_M1	0.93
b0260	P2_I5_M15	0.95
b0261	UNCLASSIFIED	NA
b0262	UNCLASSIFIED	NA
b0263	UNCLASSIFIED	NA
b0264	UNCLASSIFIED	NA
b0265	P1_I7_M3	0.84
b0266	UNCLASSIFIED	NA
b0267	UNCLASSIFIED	NA
b0268	P1_I7_M5	0.89
b0269	P1_I7_M5	0.83
b0270	P2_I5_M16	0.89
b0271	P2_I5_M16	0.85
b0272	UNCLASSIFIED	NA
b0273	P4_I4_M1	0.96
b0274	UNCLASSIFIED	NA
b0275	P1_I7_M3	0.86
b0276	P6_I3_M2	0.88
b0277	P3_I4_M1	0.82
b0278	UNCLASSIFIED	NA
b0279	UNCLASSIFIED	NA
b0280	UNCLASSIFIED	NA
b0281	UNCLASSIFIED	NA
b0283	P1_I7_M1	0.92
b0284	P1_I7_M1	0.93
b0285	P1_I7_M1	0.9
b0286	P1_I7_M1	0.92
b0287	UNCLASSIFIED	NA
b0288	UNCLASSIFIED	NA
b0289	UNCLASSIFIED	NA
b0290	UNCLASSIFIED	NA
b0291	UNCLASSIFIED	NA
b0292	UNCLASSIFIED	NA
b0293	UNCLASSIFIED	NA
b0294	UNCLASSIFIED	NA
b0295	P1_I7_M3	0.86
b0296	UNCLASSIFIED	NA
b0297	UNCLASSIFIED	NA
b0298	UNCLASSIFIED	NA
b0299	UNCLASSIFIED	NA
b0300	UNCLASSIFIED	NA
b0301	UNCLASSIFIED	NA
b0303	UNCLASSIFIED	NA
b0304	P1_I7_M1	0.93
b0305	UNCLASSIFIED	NA
b0306	P7_I4_M1	0.81
b0307	UNCLASSIFIED	NA
b0308	UNCLASSIFIED	NA
b0310	UNCLASSIFIED	NA
b0311	UNCLASSIFIED	NA
b0312	P3_I4_M8	0.85
b0313	P3_I4_M8	0.88
b0314	UNCLASSIFIED	NA
b0315	UNCLASSIFIED	NA
b0316	UNCLASSIFIED	NA
b0317	UNCLASSIFIED	NA
b0318	UNCLASSIFIED	NA
b0319	UNCLASSIFIED	NA
b0320	UNCLASSIFIED	NA
b0321	UNCLASSIFIED	NA
b0323	UNCLASSIFIED	NA
b0324	UNCLASSIFIED	NA
b0325	P1_I7_M1	0.93
b0326	UNCLASSIFIED	NA
b0327	UNCLASSIFIED	NA
b0328	P7_I4_M1	0.88
b0329	P2_I5_M12	0.91
b0330	P2_I5_M4	0.96
b0331	UNCLASSIFIED	NA
b0333	UNCLASSIFIED	NA
b0334	UNCLASSIFIED	NA
b0335	UNCLASSIFIED	NA
b0336	P4_I4_M1	0.86
b0337	P4_I4_M1	0.82
b0338	UNCLASSIFIED	NA
b0339	UNCLASSIFIED	NA
b0340	UNCLASSIFIED	NA
b0341	UNCLASSIFIED	NA
b0342	UNCLASSIFIED	NA
b0343	UNCLASSIFIED	NA
b0344	UNCLASSIFIED	NA
b0345	UNCLASSIFIED	NA
b0346	P2_I5_M4	0.95
b0347	UNCLASSIFIED	NA
b0348	UNCLASSIFIED	NA
b0349	UNCLASSIFIED	NA
b0350	UNCLASSIFIED	NA
b0351	UNCLASSIFIED	NA
b0352	UNCLASSIFIED	NA
b0353	UNCLASSIFIED	NA
b0354	UNCLASSIFIED	NA
b0355	UNCLASSIFIED	NA
b0356	UNCLASSIFIED	NA
b0357	UNCLASSIFIED	NA
b0358	UNCLASSIFIED	NA
b0360	UNCLASSIFIED	NA
b0361	UNCLASSIFIED	NA
b0363	UNCLASSIFIED	NA
b0364	UNCLASSIFIED	NA
b0365	UNCLASSIFIED	NA
b0366	UNCLASSIFIED	NA
b0367	UNCLASSIFIED	NA
