Gene	Module	kME
b0840	UNCLASSIFIED	NA
b0841	UNCLASSIFIED	NA
b0842	UNCLASSIFIED	NA
b0843	UNCLASSIFIED	NA
b0844	UNCLASSIFIED	NA
b0845	UNCLASSIFIED	NA
b0846	UNCLASSIFIED	NA
b0847	UNCLASSIFIED	NA
b0848	P1_I7_M2	0.82
b0849	UNCLASSIFIED	NA
b0850	UNCLASSIFIED	NA
b0851	UNCLASSIFIED	NA
b0852	UNCLASSIFIED	NA
b0853	UNCLASSIFIED	NA
b0854	UNCLASSIFIED	NA
b0855	UNCLASSIFIED	NA
b0856	UNCLASSIFIED	NA
b0857	UNCLASSIFIED	NA
b0858	UNCLASSIFIED	NA
b0859	P2_I5_M9	0.83
b0860	P4_I4_M1	0.93
b0861	UNCLASSIFIED	NA
b0862	UNCLASSIFIED	NA
b0863	UNCLASSIFIED	NA
b0864	P3_I4_M2	0.82
b0865	P1_I7_M1	0.9
b0866	UNCLASSIFIED	NA
b0867	P2_I5_M1	0.88
b0868	UNCLASSIFIED	NA
b0869	P3_I4_M2	0.85
b0870	P1_I7_M1	0.84
b0871	P1_I7_M1	0.95
b0872	P1_I7_M2	0.89
b0873	P1_I7_M2	0.84
b0874	P3_I4_M3	0.92
b0875	UNCLASSIFIED	NA
b0876	P7_I4_M3	0.85
b0877	UNCLASSIFIED	NA
b0878	UNCLASSIFIED	NA
b0879	UNCLASSIFIED	NA
b0880	UNCLASSIFIED	NA
b0881	P2_I5_M11	0.92
b0882	P2_I5_M1	0.84
b0884	P1_I7_M3	0.9
b0885	UNCLASSIFIED	NA
b0886	UNCLASSIFIED	NA
b0887	UNCLASSIFIED	NA
b0888	P2_I5_M7	0.81
b0889	UNCLASSIFIED	NA
b0890	UNCLASSIFIED	NA
b0891	UNCLASSIFIED	NA
b0892	UNCLASSIFIED	NA
b0893	UNCLASSIFIED	NA
b0894	P1_I7_M2	0.96
b0895	P1_I7_M2	0.95
b0896	P1_I7_M2	0.9
b0897	P1_I7_M1	0.91
b0898	UNCLASSIFIED	NA
b0899	UNCLASSIFIED	NA
b0900	UNCLASSIFIED	NA
b0901	UNCLASSIFIED	NA
b0902	UNCLASSIFIED	NA
b0903	UNCLASSIFIED	NA
b0904	P1_I7_M2	0.89
b0905	P2_I5_M10	0.81
b0906	P1_I7_M1	0.93
b0907	UNCLASSIFIED	NA
b0908	UNCLASSIFIED	NA
b0909	UNCLASSIFIED	NA
b0910	UNCLASSIFIED	NA
b0911	UNCLASSIFIED	NA
b0912	UNCLASSIFIED	NA
b0913	UNCLASSIFIED	NA
b0914	P3_I4_M10	0.83
b0915	UNCLASSIFIED	NA
b0916	UNCLASSIFIED	NA
b0917	P1_I7_M3	0.92
b0918	UNCLASSIFIED	NA
b0919	P1_I7_M2	0.94
b0920	UNCLASSIFIED	NA
b0921	UNCLASSIFIED	NA
b0922	UNCLASSIFIED	NA
b0923	UNCLASSIFIED	NA
b0924	UNCLASSIFIED	NA
b0925	P2_I5_M1	0.87
b0926	UNCLASSIFIED	NA
b0927	UNCLASSIFIED	NA
b0928	UNCLASSIFIED	NA
b0929	UNCLASSIFIED	NA
b0930	P1_I7_M9	0.89
b0931	UNCLASSIFIED	NA
b0932	P8_I2_M1	0.84
b0933	UNCLASSIFIED	NA
b0934	UNCLASSIFIED	NA
b0935	UNCLASSIFIED	NA
b0936	UNCLASSIFIED	NA
b0937	UNCLASSIFIED	NA
b0938	UNCLASSIFIED	NA
b0939	UNCLASSIFIED	NA
b0940	UNCLASSIFIED	NA
b0941	UNCLASSIFIED	NA
b0942	UNCLASSIFIED	NA
b0943	UNCLASSIFIED	NA
b0944	UNCLASSIFIED	NA
b0945	P3_I4_M3	0.9
b0946	UNCLASSIFIED	NA
b0947	UNCLASSIFIED	NA
b0948	P2_I5_M7	0.86
b0949	UNCLASSIFIED	NA
b0950	UNCLASSIFIED	NA
b0951	P7_I4_M2	0.82
b0952	UNCLASSIFIED	NA
b0953	P2_I5_M11	0.86
b0954	UNCLASSIFIED	NA
b0955	UNCLASSIFIED	NA
b0956	UNCLASSIFIED	NA
b0957	UNCLASSIFIED	NA
b0958	UNCLASSIFIED	NA
b0959	UNCLASSIFIED	NA
b0960	P2_I5_M6	0.82
b0961	UNCLASSIFIED	NA
b0962	P2_I5_M1	0.89
b0963	UNCLASSIFIED	NA
b0964	P1_I7_M1	0.81
b0965	P1_I7_M1	0.86
b0966	UNCLASSIFIED	NA
b0967	P3_I4_M3	0.81
b0968	UNCLASSIFIED	NA
b0969	UNCLASSIFIED	NA
b0970	UNCLASSIFIED	NA
b0972	UNCLASSIFIED	NA
b0973	UNCLASSIFIED	NA
b0974	UNCLASSIFIED	NA
b0975	UNCLASSIFIED	NA
b0976	UNCLASSIFIED	NA
b0977	UNCLASSIFIED	NA
b0978	P1_I7_M1	0.8
b0979	P2_I5_M5	0.83
b0980	P1_I7_M1	0.81
b0981	UNCLASSIFIED	NA
b0982	UNCLASSIFIED	NA
b0983	UNCLASSIFIED	NA
b0984	UNCLASSIFIED	NA
b0985	UNCLASSIFIED	NA
b0986	UNCLASSIFIED	NA
b0987	UNCLASSIFIED	NA
b0988	UNCLASSIFIED	NA
b0989	UNCLASSIFIED	NA
b0990	P3_I4_M1	0.85
b0991	P2_I5_M8	0.87
b0992	P1_I7_M2	0.86
b0993	P5_I3_M4	0.83
b0994	P5_I3_M2	0.81
b0995	UNCLASSIFIED	NA
b0996	UNCLASSIFIED	NA
b0997	UNCLASSIFIED	NA
b0998	UNCLASSIFIED	NA
b0999	UNCLASSIFIED	NA
b1000	P1_I7_M1	0.86
b1001	UNCLASSIFIED	NA
b1002	P1_I7_M8	0.87
b1003	P2_I5_M12	0.88
b1004	P1_I7_M1	0.9
b1006	UNCLASSIFIED	NA
b1007	UNCLASSIFIED	NA
b1008	UNCLASSIFIED	NA
b1009	UNCLASSIFIED	NA
b1010	UNCLASSIFIED	NA
b1011	UNCLASSIFIED	NA
b1012	UNCLASSIFIED	NA
b1013	UNCLASSIFIED	NA
b1014	UNCLASSIFIED	NA
b1015	UNCLASSIFIED	NA
b1018	P3_I4_M8	0.88
b1019	P3_I4_M8	0.85
b1020	P2_I5_M4	0.87
b1021	UNCLASSIFIED	NA
b1022	UNCLASSIFIED	NA
b1023	UNCLASSIFIED	NA
b1024	UNCLASSIFIED	NA
b1025	P3_I4_M4	0.8
b1026	UNCLASSIFIED	NA
b1027	UNCLASSIFIED	NA
b1028	UNCLASSIFIED	NA
b1029	UNCLASSIFIED	NA
b1033	UNCLASSIFIED	NA
b1034	UNCLASSIFIED	NA
b1035	UNCLASSIFIED	NA
b1036	UNCLASSIFIED	NA
b1037	UNCLASSIFIED	NA
b1038	UNCLASSIFIED	NA
b1039	UNCLASSIFIED	NA
b1040	UNCLASSIFIED	NA
b1041	UNCLASSIFIED	NA
b1042	UNCLASSIFIED	NA
b1043	UNCLASSIFIED	NA
b1044	UNCLASSIFIED	NA
b1045	P1_I7_M1	0.89
b1046	P1_I7_M1	0.88
b1047	P3_I4_M3	0.84
b1048	P2_I5_M6	0.81
b1049	P2_I5_M6	0.87
b1050	UNCLASSIFIED	NA
b1051	P1_I7_M1	0.91
b1053	UNCLASSIFIED	NA
b1054	UNCLASSIFIED	NA
b1055	P2_I5_M9	0.88
b1056	P2_I5_M4	0.81
b1057	UNCLASSIFIED	NA
b1058	UNCLASSIFIED	NA
b1059	UNCLASSIFIED	NA
b1060	P3_I4_M1	0.84
b1061	P2_I5_M2	0.86
b1062	P2_I5_M13	0.87
b1063	UNCLASSIFIED	NA
b1064	UNCLASSIFIED	NA
b1065	UNCLASSIFIED	NA
b1066	UNCLASSIFIED	NA
b1067	P3_I4_M5	0.84
b1068	P3_I4_M5	0.83
b1069	UNCLASSIFIED	NA
b1070	P1_I7_M4	0.94
b1071	P1_I7_M4	0.86
b1072	P1_I7_M4	0.93
b1073	P1_I7_M4	0.92
b1074	P1_I7_M4	0.93
b1075	P1_I7_M4	0.95
b1076	P1_I7_M4	0.96
b1077	P1_I7_M4	0.96
b1078	P1_I7_M4	0.96
b1079	P1_I7_M4	0.95
b1080	P1_I7_M4	0.96
b1081	P1_I7_M4	0.93
b1082	P1_I7_M4	0.96
b1083	P1_I7_M4	0.93
b1084	UNCLASSIFIED	NA
b1085	UNCLASSIFIED	NA
b1086	P2_I5_M9	0.85
b1087	P1_I7_M1	0.9
b1088	UNCLASSIFIED	NA
b1089	P1_I7_M3	0.97
b1090	UNCLASSIFIED	NA
b1091	UNCLASSIFIED	NA
b1092	UNCLASSIFIED	NA
b1093	UNCLASSIFIED	NA
b1094	P1_I7_M3	0.95
b1095	UNCLASSIFIED	NA
b1096	UNCLASSIFIED	NA
b1097	UNCLASSIFIED	NA
b1098	UNCLASSIFIED	NA
b1099	UNCLASSIFIED	NA
b1100	UNCLASSIFIED	NA
b1101	UNCLASSIFIED	NA
b1102	P1_I7_M6	0.93
b1103	UNCLASSIFIED	NA
b1104	P2_I5_M11	0.8
b1105	P1_I7_M1	0.81
b1106	UNCLASSIFIED	NA
b1107	UNCLASSIFIED	NA
b1108	UNCLASSIFIED	NA
b1109	UNCLASSIFIED	NA
b1110	P2_I5_M3	0.81
b1111	UNCLASSIFIED	NA
b1112	UNCLASSIFIED	NA
b1113	UNCLASSIFIED	NA
b1114	UNCLASSIFIED	NA
b1115	UNCLASSIFIED	NA
b1116	UNCLASSIFIED	NA
b1117	UNCLASSIFIED	NA
b1118	UNCLASSIFIED	NA
b1119	UNCLASSIFIED	NA
b1120	UNCLASSIFIED	NA
b1121	UNCLASSIFIED	NA
b1122	UNCLASSIFIED	NA
b1123	UNCLASSIFIED	NA
b1124	UNCLASSIFIED	NA
b1125	UNCLASSIFIED	NA
b1126	UNCLASSIFIED	NA
b1127	P5_I3_M2	0.93
b1128	UNCLASSIFIED	NA
b1129	UNCLASSIFIED	NA
b1130	UNCLASSIFIED	NA
b1131	P2_I5_M13	0.84
b1132	P2_I5_M9	0.86
b1133	P2_I5_M9	0.93
b1134	UNCLASSIFIED	NA
b1135	UNCLASSIFIED	NA
b1136	UNCLASSIFIED	NA
b1137	P1_I7_M12	0.9
b1138	P1_I7_M12	0.9
b1139	P1_I7_M12	0.83
b1140	UNCLASSIFIED	NA
b1141	UNCLASSIFIED	NA
b1143	UNCLASSIFIED	NA
b1144	UNCLASSIFIED	NA
b1145	UNCLASSIFIED	NA
b1146	UNCLASSIFIED	NA
b1147	UNCLASSIFIED	NA
b1148	UNCLASSIFIED	NA
b1150	UNCLASSIFIED	NA
b1151	UNCLASSIFIED	NA
b1152	UNCLASSIFIED	NA
b1153	UNCLASSIFIED	NA
b1154	UNCLASSIFIED	NA
b1155	UNCLASSIFIED	NA
b1156	UNCLASSIFIED	NA
b1157	UNCLASSIFIED	NA
b1158	UNCLASSIFIED	NA
b1159	UNCLASSIFIED	NA
b1160	UNCLASSIFIED	NA
b1161	UNCLASSIFIED	NA
b1162	UNCLASSIFIED	NA
b1163	UNCLASSIFIED	NA
b1164	UNCLASSIFIED	NA
b1165	UNCLASSIFIED	NA
b1166	UNCLASSIFIED	NA
b1167	UNCLASSIFIED	NA
b1168	UNCLASSIFIED	NA
b1171	UNCLASSIFIED	NA
b1172	UNCLASSIFIED	NA
b1174	P1_I7_M3	0.83
b1175	UNCLASSIFIED	NA
b1176	UNCLASSIFIED	NA
b1177	UNCLASSIFIED	NA
b1178	UNCLASSIFIED	NA
b1179	UNCLASSIFIED	NA
b1180	P2_I5_M1	0.82
b1181	UNCLASSIFIED	NA
b1182	UNCLASSIFIED	NA
b1183	UNCLASSIFIED	NA
b1184	UNCLASSIFIED	NA
b1185	UNCLASSIFIED	NA
b1186	UNCLASSIFIED	NA
b1187	UNCLASSIFIED	NA
b1188	P1_I7_M1	0.95
b1189	UNCLASSIFIED	NA
b1190	UNCLASSIFIED	NA
b1191	UNCLASSIFIED	NA
b1192	UNCLASSIFIED	NA
b1193	UNCLASSIFIED	NA
b1194	P1_I7_M4	0.95
b1195	P2_I5_M12	0.9
b1196	UNCLASSIFIED	NA
b1197	P1_I7_M1	0.89
b1198	UNCLASSIFIED	NA
b1199	UNCLASSIFIED	NA
b1200	UNCLASSIFIED	NA
b1201	UNCLASSIFIED	NA
b1202	P5_I3_M2	0.81
b1203	P2_I5_M7	0.85
b1204	P2_I5_M9	0.84
b1205	UNCLASSIFIED	NA
b1206	UNCLASSIFIED	NA
b1207	P3_I4_M3	0.89
b1208	UNCLASSIFIED	NA
b1209	UNCLASSIFIED	NA
b1210	UNCLASSIFIED	NA
b1211	UNCLASSIFIED	NA
b1212	UNCLASSIFIED	NA
b1213	UNCLASSIFIED	NA
b1214	UNCLASSIFIED	NA
b1215	UNCLASSIFIED	NA
b1216	UNCLASSIFIED	NA
b1217	P2_I5_M12	0.83
b1218	P1_I7_M1	0.89
b1219	UNCLASSIFIED	NA
b1220	UNCLASSIFIED	NA
b1221	UNCLASSIFIED	NA
b1222	UNCLASSIFIED	NA
b1223	UNCLASSIFIED	NA
b1224	P1_I7_M2	0.83
b1225	UNCLASSIFIED	NA
b1226	UNCLASSIFIED	NA
b1227	UNCLASSIFIED	NA
b1229	UNCLASSIFIED	NA
b1232	UNCLASSIFIED	NA
b1233	P2_I5_M2	0.82
b1234	P1_I7_M1	0.87
b1235	P1_I7_M1	0.92
b1236	UNCLASSIFIED	NA
b1237	UNCLASSIFIED	NA
b1238	UNCLASSIFIED	NA
b1241	UNCLASSIFIED	NA
b1242	UNCLASSIFIED	NA
b1243	UNCLASSIFIED	NA
b1244	UNCLASSIFIED	NA
b1245	UNCLASSIFIED	NA
b1246	UNCLASSIFIED	NA
b1247	UNCLASSIFIED	NA
b1248	UNCLASSIFIED	NA
b1249	P3_I4_M5	0.86
b1250	P2_I5_M5	0.85
b1251	UNCLASSIFIED	NA
b1252	P1_I7_M6	0.92
b1253	UNCLASSIFIED	NA
b1254	UNCLASSIFIED	NA
b1255	UNCLASSIFIED	NA
b1256	UNCLASSIFIED	NA
b1257	P3_I4_M2	0.85
b1258	P1_I7_M1	0.88
b1259	UNCLASSIFIED	NA
b1260	UNCLASSIFIED	NA
b1261	UNCLASSIFIED	NA
b1262	UNCLASSIFIED	NA
b1263	UNCLASSIFIED	NA
b1264	UNCLASSIFIED	NA
b1265	UNCLASSIFIED	NA
b1266	UNCLASSIFIED	NA
b1267	P1_I7_M1	0.84
b1268	UNCLASSIFIED	NA
b1269	UNCLASSIFIED	NA
b1270	UNCLASSIFIED	NA
b1271	UNCLASSIFIED	NA
b1272	UNCLASSIFIED	NA
b1273	P6_I3_M2	0.83
b1274	P5_I3_M3	0.86
b1275	UNCLASSIFIED	NA
b1276	P3_I4_M2	0.82
b1277	UNCLASSIFIED	NA
b1278	UNCLASSIFIED	NA
b1279	P1_I7_M3	0.89
b1280	UNCLASSIFIED	NA
b1281	P2_I5_M9	0.9
b1282	P3_I4_M3	0.84
b1283	P2_I5_M11	0.87
b1284	UNCLASSIFIED	NA
b1285	P1_I7_M1	0.93
b1286	P1_I7_M11	0.91
b1287	P1_I7_M11	0.9
b1288	UNCLASSIFIED	NA
b1289	UNCLASSIFIED	NA
b1290	UNCLASSIFIED	NA
b1291	UNCLASSIFIED	NA
b1292	UNCLASSIFIED	NA
b1293	UNCLASSIFIED	NA
b1294	UNCLASSIFIED	NA
b1295	UNCLASSIFIED	NA
b1296	UNCLASSIFIED	NA
b1297	P2_I5_M4	0.81
b1298	UNCLASSIFIED	NA
b1299	UNCLASSIFIED	NA
b1300	UNCLASSIFIED	NA
b1301	UNCLASSIFIED	NA
b1302	UNCLASSIFIED	NA
b1303	UNCLASSIFIED	NA
b1304	UNCLASSIFIED	NA
b1305	UNCLASSIFIED	NA
b1306	UNCLASSIFIED	NA
b1307	UNCLASSIFIED	NA
b1308	P1_I7_M12	0.83
b1309	UNCLASSIFIED	NA
b1310	UNCLASSIFIED	NA
b1311	UNCLASSIFIED	NA
b1312	UNCLASSIFIED	NA
b1313	UNCLASSIFIED	NA
b1314	UNCLASSIFIED	NA
b1315	UNCLASSIFIED	NA
b1316	UNCLASSIFIED	NA
b1317	UNCLASSIFIED	NA
b1319	UNCLASSIFIED	NA
b1320	UNCLASSIFIED	NA
b1321	UNCLASSIFIED	NA
b1322	UNCLASSIFIED	NA
b1323	P5_I3_M1	0.83
b1324	UNCLASSIFIED	NA
b1325	UNCLASSIFIED	NA
b1326	UNCLASSIFIED	NA
b1327	P1_I7_M1	0.93
b1328	UNCLASSIFIED	NA
b1329	UNCLASSIFIED	NA
b1330	UNCLASSIFIED	NA
b1331	UNCLASSIFIED	NA
b1332	UNCLASSIFIED	NA
b1333	P5_I3_M2	0.88
b1334	UNCLASSIFIED	NA
b1335	UNCLASSIFIED	NA
b1336	UNCLASSIFIED	NA
b1337	UNCLASSIFIED	NA
b1338	UNCLASSIFIED	NA
b1339	P8_I2_M2	0.8
b1340	UNCLASSIFIED	NA
b1341	P2_I5_M5	0.85
b1342	P1_I7_M1	0.88
b1343	P3_I4_M2	0.88
b1344	UNCLASSIFIED	NA
b1345	UNCLASSIFIED	NA
b1346	UNCLASSIFIED	NA
b1347	UNCLASSIFIED	NA
b1348	UNCLASSIFIED	NA
b1349	UNCLASSIFIED	NA
b1350	UNCLASSIFIED	NA
b1351	UNCLASSIFIED	NA
b1352	UNCLASSIFIED	NA
b1353	UNCLASSIFIED	NA
b1355	UNCLASSIFIED	NA
b1356	P3_I4_M1	0.87
b1357	UNCLASSIFIED	NA
b1358	UNCLASSIFIED	NA
b1359	UNCLASSIFIED	NA
b1360	UNCLASSIFIED	NA
b1361	UNCLASSIFIED	NA
b1362	UNCLASSIFIED	NA
b1363	UNCLASSIFIED	NA
b1365	UNCLASSIFIED	NA
b1366	UNCLASSIFIED	NA
b1368	UNCLASSIFIED	NA
b1370	UNCLASSIFIED	NA
b1372	UNCLASSIFIED	NA
b1373	UNCLASSIFIED	NA
b1374	UNCLASSIFIED	NA
b1375	UNCLASSIFIED	NA
b1376	UNCLASSIFIED	NA
b1377	UNCLASSIFIED	NA
b1378	UNCLASSIFIED	NA
b1379	UNCLASSIFIED	NA
b1380	UNCLASSIFIED	NA
b1381	UNCLASSIFIED	NA
b1382	P2_I5_M8	0.85
b1383	UNCLASSIFIED	NA
b1384	P8_I2_M2	0.91
b1385	P2_I5_M4	0.85
b1386	UNCLASSIFIED	NA
b1387	UNCLASSIFIED	NA
b1388	UNCLASSIFIED	NA
b1389	UNCLASSIFIED	NA
b1390	UNCLASSIFIED	NA
b1391	UNCLASSIFIED	NA
b1392	UNCLASSIFIED	NA
b1393	UNCLASSIFIED	NA
b1394	UNCLASSIFIED	NA
b1395	UNCLASSIFIED	NA
b1396	UNCLASSIFIED	NA
b1397	P1_I7_M7	0.82
b1398	P1_I7_M7	0.82
b1399	UNCLASSIFIED	NA
b1400	UNCLASSIFIED	NA
b1402	P2_I5_M1	0.87
b1403	UNCLASSIFIED	NA
b1404	UNCLASSIFIED	NA
b1406	P1_I7_M1	0.84
b1407	UNCLASSIFIED	NA
b1408	UNCLASSIFIED	NA
b1409	UNCLASSIFIED	NA
b1410	UNCLASSIFIED	NA
b1411	UNCLASSIFIED	NA
b1412	UNCLASSIFIED	NA
b1413	P3_I4_M7	0.89
b1414	P7_I4_M3	0.89
b1415	P1_I7_M7	0.93
b1418	UNCLASSIFIED	NA
b1419	P1_I7_M3	0.88
b1420	UNCLASSIFIED	NA
b1421	UNCLASSIFIED	NA
b1422	P2_I5_M4	0.84
b1423	P1_I7_M8	0.93
b1424	UNCLASSIFIED	NA
b1426	UNCLASSIFIED	NA
b1427	UNCLASSIFIED	NA
b1428	P1_I7_M1	0.96
b1429	UNCLASSIFIED	NA
b1430	UNCLASSIFIED	NA
b1431	UNCLASSIFIED	NA
b1432	UNCLASSIFIED	NA
b1433	UNCLASSIFIED	NA
b1434	UNCLASSIFIED	NA
b1435	P1_I7_M9	0.9
b1436	UNCLASSIFIED	NA
b1438	UNCLASSIFIED	NA
b1439	P2_I5_M4	0.81
b1440	P1_I7_M8	0.91
b1441	P1_I7_M8	0.88
b1442	P1_I7_M8	0.89
b1443	P1_I7_M8	0.86
b1444	UNCLASSIFIED	NA
b1445	UNCLASSIFIED	NA
b1446	P3_I4_M1	0.8
b1447	UNCLASSIFIED	NA
b1448	UNCLASSIFIED	NA
b1449	P1_I7_M1	0.94
b1450	P1_I7_M1	0.9
b1451	P3_I4_M8	0.86
b1452	P1_I7_M6	0.94
b1453	UNCLASSIFIED	NA
b1454	P1_I7_M1	0.93
b1455	UNCLASSIFIED	NA
b1456	UNCLASSIFIED	NA
b1457	UNCLASSIFIED	NA
b1459_1	UNCLASSIFIED	NA
b1459_2	UNCLASSIFIED	NA
b1460	UNCLASSIFIED	NA
b1461	UNCLASSIFIED	NA
b1462	P1_I7_M1	0.87
b1463	UNCLASSIFIED	NA
b1464	UNCLASSIFIED	NA
b1465	UNCLASSIFIED	NA
b1466	UNCLASSIFIED	NA
b1467	UNCLASSIFIED	NA
b1468	UNCLASSIFIED	NA
b1469	UNCLASSIFIED	NA
b1471_1	UNCLASSIFIED	NA
b1471_2	UNCLASSIFIED	NA
b1472	UNCLASSIFIED	NA
b1473	UNCLASSIFIED	NA
b1474	UNCLASSIFIED	NA
b1475	UNCLASSIFIED	NA
b1476	UNCLASSIFIED	NA
b1477	UNCLASSIFIED	NA
b1478	P1_I7_M1	0.92
b1479	UNCLASSIFIED	NA
b1480	UNCLASSIFIED	NA
b1481	UNCLASSIFIED	NA
b1482	P1_I7_M1	0.95
b1483	UNCLASSIFIED	NA
b1484	P3_I4_M6	0.83
b1485	UNCLASSIFIED	NA
b1486	P3_I4_M6	0.83
b1487	P3_I4_M6	0.89
b1488	P3_I4_M6	0.82
b1489	P2_I5_M5	0.88
b1490	P1_I7_M1	0.88
b1491	UNCLASSIFIED	NA
b1492	P2_I5_M5	0.95
b1493	P1_I7_M1	0.84
b1494	UNCLASSIFIED	NA
b1495	UNCLASSIFIED	NA
b1496	UNCLASSIFIED	NA
b1497	UNCLASSIFIED	NA
b1498	P1_I7_M5	0.89
b1499	P2_I5_M14	0.94
b1500	P2_I5_M14	0.84
b1501	P2_I5_M14	0.94
b1502	UNCLASSIFIED	NA
b1503	UNCLASSIFIED	NA
b1504	UNCLASSIFIED	NA
b1505	UNCLASSIFIED	NA
b1506_1	UNCLASSIFIED	NA
b1506_2	UNCLASSIFIED	NA
b1507	UNCLASSIFIED	NA
b1508	UNCLASSIFIED	NA
b1511	P1_I7_M8	0.86
b1512	P1_I7_M8	0.88
b1513	P1_I7_M8	0.94
b1514	P1_I7_M8	0.92
b1515	P1_I7_M8	0.89
b1516	P1_I7_M8	0.92
b1517	P1_I7_M8	0.88
b1518	UNCLASSIFIED	NA
b1519	P1_I7_M1	0.96
b1520	P9_I3_M1	0.87
b1521	UNCLASSIFIED	NA
b1522	UNCLASSIFIED	NA
b1523	UNCLASSIFIED	NA
b1524	UNCLASSIFIED	NA
b1525	UNCLASSIFIED	NA
b1526	UNCLASSIFIED	NA
b1527	UNCLASSIFIED	NA
b1528	P9_I3_M1	0.91
b1529	P1_I7_M1	0.82
b1530	UNCLASSIFIED	NA
b1531	UNCLASSIFIED	NA
b1532	UNCLASSIFIED	NA
b1533	UNCLASSIFIED	NA
b1534	UNCLASSIFIED	NA
b1535	UNCLASSIFIED	NA
b1536	P1_I7_M1	0.91
b1537	P1_I7_M1	0.9
b1538	UNCLASSIFIED	NA
b1539	UNCLASSIFIED	NA
b1540	UNCLASSIFIED	NA
b1541	P3_I4_M1	0.83
b1542	UNCLASSIFIED	NA
b1544	UNCLASSIFIED	NA
b1545	UNCLASSIFIED	NA
b1546	UNCLASSIFIED	NA
b1547	UNCLASSIFIED	NA
b1548	UNCLASSIFIED	NA
b1549	UNCLASSIFIED	NA
b1550	P1_I7_M3	0.91
b1551	UNCLASSIFIED	NA
b1552	UNCLASSIFIED	NA
b1553	UNCLASSIFIED	NA
b1554	UNCLASSIFIED	NA
b1555	UNCLASSIFIED	NA
b1556	UNCLASSIFIED	NA
b1557	P3_I4_M1	0.84
b1558	P1_I7_M3	0.8
b1559	UNCLASSIFIED	NA
b1560	UNCLASSIFIED	NA
b1561	P6_I3_M2	0.81
b1562	P1_I7_M3	0.89
b1563	UNCLASSIFIED	NA
b1564	UNCLASSIFIED	NA
b1565	UNCLASSIFIED	NA
b1566	P1_I7_M4	0.83
b1567	UNCLASSIFIED	NA
b1568	UNCLASSIFIED	NA
b1569	UNCLASSIFIED	NA
b1570	UNCLASSIFIED	NA
b1571	UNCLASSIFIED	NA
b1572	UNCLASSIFIED	NA
b1573	UNCLASSIFIED	NA
b1575	UNCLASSIFIED	NA
b1576	UNCLASSIFIED	NA
b1577	UNCLASSIFIED	NA
b1578	UNCLASSIFIED	NA
b1579	UNCLASSIFIED	NA
b1580	UNCLASSIFIED	NA
b1581	UNCLASSIFIED	NA
b1582	UNCLASSIFIED	NA
b1583	UNCLASSIFIED	NA
b1584	UNCLASSIFIED	NA
b1585	UNCLASSIFIED	NA
b1586	UNCLASSIFIED	NA
b1587	P1_I7_M2	0.94
b1588	P1_I7_M2	0.84
b1589	P1_I7_M2	0.82
b1590	P1_I7_M2	0.83
b1591	UNCLASSIFIED	NA
b1592	UNCLASSIFIED	NA
b1593	P1_I7_M2	0.94
b1594	UNCLASSIFIED	NA
b1595	UNCLASSIFIED	NA
b1596	UNCLASSIFIED	NA
b1597	P2_I5_M14	0.89
b1598	P1_I7_M1	0.83
b1599	UNCLASSIFIED	NA
b1600	UNCLASSIFIED	NA
b1601	UNCLASSIFIED	NA
b1602	UNCLASSIFIED	NA
b1603	UNCLASSIFIED	NA
b1604	UNCLASSIFIED	NA
b1605	UNCLASSIFIED	NA
b1606	UNCLASSIFIED	NA
b1607	UNCLASSIFIED	NA
b1608	UNCLASSIFIED	NA
b1609	UNCLASSIFIED	NA
b1610	UNCLASSIFIED	NA
b1611	UNCLASSIFIED	NA
b1612	P1_I7_M7	0.9
b1613	UNCLASSIFIED	NA
b1614	UNCLASSIFIED	NA
b1615	UNCLASSIFIED	NA
b1616	UNCLASSIFIED	NA
b1617	P6_I3_M1	0.83
b1618	UNCLASSIFIED	NA
b1619	P1_I7_M1	0.9
b1620	UNCLASSIFIED	NA
b1621	P1_I7_M5	0.86
b1622	UNCLASSIFIED	NA
b1623	UNCLASSIFIED	NA
b1624	UNCLASSIFIED	NA
b1625	UNCLASSIFIED	NA
b1626	UNCLASSIFIED	NA
b1627	P2_I5_M9	0.81
b1628	P2_I5_M9	0.82
b1629	P2_I5_M9	0.87
b1630	UNCLASSIFIED	NA
b1631	UNCLASSIFIED	NA
b1632	UNCLASSIFIED	NA
b1633	UNCLASSIFIED	NA
b1634	UNCLASSIFIED	NA
b1635	P6_I3_M3	0.85
b1636	UNCLASSIFIED	NA
b1637	UNCLASSIFIED	NA
b1638	UNCLASSIFIED	NA
b1639	UNCLASSIFIED	NA
b1640	UNCLASSIFIED	NA
b1641	UNCLASSIFIED	NA
b1642	P6_I3_M2	0.85
b1643	UNCLASSIFIED	NA
b1644	UNCLASSIFIED	NA
b1645	UNCLASSIFIED	NA
b1646	P1_I7_M1	0.96
b1647	P1_I7_M1	0.83
b1648	UNCLASSIFIED	NA
b1649	UNCLASSIFIED	NA
b1650	UNCLASSIFIED	NA
b1651	UNCLASSIFIED	NA
b1652	P2_I5_M6	0.85
b1653	P2_I5_M5	0.85
b1654	UNCLASSIFIED	NA
b1655	UNCLASSIFIED	NA
b1656	UNCLASSIFIED	NA
b1657	P9_I3_M1	0.92
b1658	UNCLASSIFIED	NA
b1659	P2_I5_M1	0.82
b1660	UNCLASSIFIED	NA
b1661	P1_I7_M1	0.88
