bnum	gene_name	knowledgebase	ann_quality	new_ann_quality	comments
b2529	iscU	EcoGene	medium	high	
b2811	csdE	EcoGene	medium	high	
b3393	hofO	EcoGene	medium	low	
b3413	gntX	EcoGene	medium	low	
b3392	hofP	EcoGene	medium	low	
b1591	dmsD	EcoGene	medium	high	
b2528	iscA	EcoGene	medium	high	
b2527	hscB	EcoGene	medium	high	
b1683	sufB	EcoGene	medium	high	
b1682	sufC	EcoGene	medium	high	
b1684	sufA	EcoGene	medium	high	
b1681	sufD	EcoGene	medium	high	
b3807	cyaY	EcoGene	medium	high	
b0035	caiE	EcoGene	medium	high	
b2579	grcA	EcoGene	medium	high	
b0156	erpA	EcoGene	medium	high	
b1654	grxD	EcoGene	medium	high	
b2582	trxC	EcoGene	medium	high	
b2197	ccmE	EcoGene	medium	high	
b1097	yceG	EcoGene	medium	low	
b1043	csgC	EcoGene	medium	low	
b1279	yciS	EcoGene	medium	low	
b0054	lptD	EcoGene	medium	high	
b2045	wcaK	EcoGene	medium	low	
b2043	wcaM	EcoGene	medium	low	
b3049	glgS	EcoGene	medium	high	
b4027	yjbF	EcoGene	medium	low	
b4029	yjbH	EcoGene	medium	low	
b3351	kefG	EcoGene	medium	high	
b2670	alaE	EcoGene	medium	high	
b3040	zupT	EcoGene	medium	high	
b4082	mdtN	EcoGene	medium	high	
b2923	argO	EcoGene	medium	high	
b1533	eamA	EcoGene	medium	high	
b0574	cusB	EcoGene	medium	high	
b1018	efeO	EcoGene	medium	high	
b3035	tolC	EcoGene	medium	high	
b1377	ompN	EcoGene	medium	low	
b1256	ompW	EcoGene	medium	high	
b0681	chiP	EcoGene	medium	high	
b0830	gsiB	EcoGene	medium	high	
b0158	btuF	EcoGene	medium	high	
b1857	znuA	EcoGene	medium	high	
b4227	ytfQ	EcoGene	medium	high	
b1516	lsrB	EcoGene	medium	low	
b3200	lptA	EcoGene	medium	high	
b0808	ybiO	EcoGene	medium	high	
b4194	ulaB	EcoGene	medium	high	
b4195	ulaC	EcoGene	medium	high	
b2835	lplT	EcoGene	medium	high	
b2368	emrK	EcoGene	medium	high	
b4002	zraP	EcoGene	medium	high	
b1532	marB	EcoGene	medium	high	
b1798	leuE	EcoGene	medium	high	
b2578	eamB	EcoGene	medium	high	
b1601	tqsA	EcoGene	medium	high	
b4472	yhdP	EcoGene	medium	low	
b1051	msyB	EcoGene	medium	high	
b1571	ydfA	EcoGene	medium	low	
b1352	kilR	EcoGene	medium	high	
b0245	ykfI	EcoGene	medium	low	
b0548	ninE	EcoGene	medium	low	
b1576	ydfD	EcoGene	medium	low	
b0558	ybcV	EcoGene	medium	low	
b1550	gnsB	EcoGene	medium	high	
b1553	rzpQ	EcoGene	medium	low	
b1562	hokD	EcoGene	medium	low	
b1353	sieB	EcoGene	medium	low	
b1558	cspF	EcoGene	medium	low	
b1355	ydaG	EcoGene	medium	low	
b1145	cohE	EcoGene	medium	low	
b1549	ydfO	EcoGene	medium	low	
b1552	cspI	EcoGene	medium	low	
b1555	ydfR	EcoGene	medium	low	
b1557	cspB	EcoGene	medium	low	
b0549	ybcO	EcoGene	medium	low	
b1560	ydfU	EcoGene	medium	low	
b2082	ogrK	EcoGene	medium	low	
b3717	cbrC	EcoGene	medium	low	
b0740	tolB	EcoGene	medium	high	
b1306	pspC	EcoGene	medium	high	
b2107	rcnB	EcoGene	medium	high	
b2381	ypdB	EcoGene	medium	high	
b0313	betI	EcoGene	medium	high	
b3481	nikR	EcoGene	medium	high	
b4479	dgoR	EcoGene	medium	high	
b3574	yiaJ	EcoGene	medium	high	
b3515	gadW	EcoGene	medium	high	
b0413	nrdR	EcoGene	medium	high	
b3783	rho	EcoGene	medium	high	
b4191	ulaR	EcoGene	medium	high	
b4178	nsrR	EcoGene	medium	high	
b2105	rcnR	EcoGene	medium	high	
b3963	fabR	EcoGene	medium	high	
b1284	yciT	EcoGene	medium	high	
b1399	paaX	EcoGene	medium	high	
b3912	cpxR	EcoGene	medium	high	
b3292	zntR	EcoGene	medium	high	
b3243	aaeR	EcoGene	medium	high	
b4396	rob	EcoGene	medium	high	
b0076	leuO	EcoGene	medium	high	
b3569	xylR	EcoGene	medium	high	
b4116	adiY	EcoGene	medium	high	
b2531	iscR	EcoGene	medium	high	
b4264	idnR	EcoGene	medium	high	
b4124	dcuR	EcoGene	medium	high	
b2369	evgA	EcoGene	medium	high	
b1201	dhaR	EcoGene	medium	high	
b2554	glrR	EcoGene	medium	high	
b3261	fis	EcoGene	medium	high	
b1040	csgD	EcoGene	medium	high	
b2409	yfeR	EcoGene	medium	high	
b3060	ttdR	EcoGene	medium	high	
b0487	cueR	EcoGene	medium	high	
b0959	sxy	EcoGene	medium	high	
b0571	cusR	EcoGene	medium	high	
b3516	gadX	EcoGene	medium	high	
b1914	uvrY	EcoGene	medium	high	
b0357	frmR	EcoGene	medium	high	
b4501	torI	EcoGene	medium	high	
b1823	cspC	EcoGene	medium	high	
b3422	rtcR	EcoGene	medium	high	
b3169	nusA	EcoGene	medium	high	
b3023	ygiV	EcoGene	medium	high	
b3082	higA	EcoGene	medium	high	
b0623	cspE	EcoGene	medium	high	
b2911	ssrS	EcoGene	medium	high	
b1450	mcbR	EcoGene	medium	high	
b1649	nemR	EcoGene	medium	high	
b2427	murR	EcoGene	medium	high	
b0189	rof	EcoGene	medium	high	
b3025	qseB	EcoGene	medium	high	
b4046	zur	EcoGene	medium	high	
b2295	yfbV	EcoGene	medium	high	
b0880	cspD	EcoGene	medium	high	
b1438	hicB	EcoGene	medium	high	
b3495	uspA	EcoGene	medium	high	
b1166	ariR	EcoGene	medium	high	
b1731	cedA	EcoGene	medium	high	
b3021	mqsA	EcoGene	medium	high	
b0923	mukE	EcoGene	medium	high	
b0146	sfsA	EcoGene	medium	high	
b0846	rcdA	EcoGene	medium	high	
b0010	satP	EcoGene	medium	high	
b2216	rcsD	EcoGene	medium	high	
b1563	relE	EcoGene	medium	high	
b0145	dksA	EcoGene	medium	high	
b0637	rsfS	EcoGene	medium	high	
b0172	frr	EcoGene	medium	high	
b1304	pspA	EcoGene	medium	high	
b0545	ybcL	EcoGene	medium	high	
b0958	sulA	EcoGene	medium	low	
b2698	recX	EcoGene	medium	high	
b1679	sufE	EcoGene	medium	high	
b0999	cbpM	EcoGene	medium	high	
b0232	yafN	EcoGene	medium	high	
b1574	dicF	EcoGene	medium	high	
b4172	hfq	EcoGene	medium	high	
b4458	oxyS	EcoGene	medium	high	
b4439	micF	EcoGene	medium	high	
b4438	cyaR	EcoGene	medium	high	
b4454	rdlD	EcoGene	medium	high	
b4422	rdlB	EcoGene	medium	low	
b4577	sgrS	EcoGene	medium	high	
b4431	rprA	EcoGene	medium	high	
b4420	rdlA	EcoGene	medium	low	
b4429	sokB	EcoGene	medium	high	
b4451	ryhB	EcoGene	medium	high	
b4426	mcaS	EcoGene	medium	high	
b4413	sokC	EcoGene	medium	high	
b4424	rdlC	EcoGene	medium	low	
b4326	iraD	EcoGene	medium	high	
b0382	iraP	EcoGene	medium	high	
b1160	iraM	EcoGene	medium	high	
b3096	mzrA	EcoGene	medium	high	
b4408	csrB	EcoGene	medium	high	
b1976	mtfA	EcoGene	medium	high	
b4662	sgrT	EcoGene	medium	high	
b4637	uof	EcoGene	medium	high	
b3252	csrD	EcoGene	medium	high	
b4443	gcvB	EcoGene	medium	high	
b4225	chpB	EcoGene	medium	high	
b3871	typA	EcoGene	medium	high	
b4616	istR	EcoGene	medium	high	
b0966	hspQ	EcoGene	medium	low	
b1194	ycgR	EcoGene	medium	high	
b1625	cnu	EcoGene	medium	high	
b4702	mgtL	EcoGene	medium	high	
b0001	thrL	EcoGene	medium	high	
b4603	rseX	EcoGene	medium	high	
b1782	mipA	EcoGene	medium	high	
b4316	fimC	EcoGene	medium	high	
b0572	cusC	EcoGene	medium	high	
b4140	fxsA	EcoGene	medium	high	
b0738	tolR	EcoGene	medium	high	
b1473	yddG	EcoGene	medium	high	
b2686	emrB	EcoGene	medium	high	
b4067	actP	EcoGene	medium	high	lots of transporters and efflux pumps and stuff from here on out
b0752	zitB	EcoGene	medium	high	
b3063	ttdT	EcoGene	medium	high	
b4337	mdtM	EcoGene	medium	high	
b0484	copA	EcoGene	medium	high	
b1981	shiA	EcoGene	medium	high	
b2452	eutH	EcoGene	medium	high	
